Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Time,Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (600),0 h ,0.95,0.96,0.501,0.529,0.528,0.508,0.552,0.497,0.487,0.567,0.59,0.522,0.593,0.569,0.588,0.562,0.634,0.528,0.819,0.571,0.83,0.54,0.879,0.551,0.61,0.624,0.903,0.647,0.874,0.608,0.734,0.606,0.889,0.65,0.586,0.564,0.607,0.654,0.627,0.627,0.642,0.653,0.663,0.705,0.633,0.611,0.633,0.64,0.606,0.646,0.632,0.624,0.573,0.639,0.726,0.733,0.651,0.903,0.617,0.681,0.564,0.907,0.765,0.726,0.669,0.744,0.867,0.692,0.684,0.603,0.745,0.847,0.083,0.082,0.082,0.086,0.084,0.083,0.083,0.084,0.084,0.088,0.082,0.086,0.807,0.721,0.886,0.859,0.866,0.729,0.859,0.727,0.721,0.679,0.867,0.615
Raw Data (600),0 h 10 min,0.942,0.944,0.517,0.533,0.536,0.516,0.557,0.51,0.495,0.586,0.609,0.538,0.584,0.568,0.584,0.574,0.627,0.533,0.854,0.571,0.86,0.55,0.902,0.568,0.607,0.641,0.901,0.657,0.902,0.626,0.774,0.603,0.906,0.676,0.605,0.559,0.607,0.643,0.639,0.638,0.651,0.65,0.67,0.696,0.642,0.626,0.661,0.661,0.592,0.629,0.619,0.623,0.563,0.627,0.702,0.68,0.656,0.858,0.604,0.677,0.578,0.895,0.754,0.718,0.665,0.726,0.853,0.701,0.676,0.618,0.74,0.85,0.083,0.082,0.083,0.086,0.083,0.082,0.082,0.084,0.083,0.087,0.083,0.087,0.776,0.73,0.852,0.824,0.83,0.705,0.818,0.702,0.711,0.659,0.824,0.61
Raw Data (600),0 h 20 min,0.929,0.925,0.54,0.544,0.542,0.528,0.558,0.528,0.516,0.624,0.607,0.581,0.602,0.57,0.588,0.581,0.636,0.544,0.865,0.608,0.833,0.599,0.827,0.572,0.595,0.635,0.879,0.634,0.878,0.625,0.76,0.593,0.902,0.66,0.609,0.556,0.597,0.64,0.635,0.637,0.649,0.645,0.673,0.694,0.644,0.625,0.674,0.677,0.592,0.633,0.612,0.621,0.571,0.618,0.692,0.68,0.651,0.832,0.608,0.695,0.59,0.921,0.757,0.731,0.683,0.74,0.912,0.73,0.707,0.647,0.78,0.896,0.083,0.083,0.083,0.086,0.084,0.083,0.083,0.084,0.083,0.088,0.083,0.087,0.793,0.725,0.885,0.857,0.862,0.713,0.844,0.713,0.75,0.675,0.833,0.641
Raw Data (600),0 h 30 min,0.9,0.914,0.531,0.547,0.541,0.527,0.555,0.524,0.514,0.613,0.607,0.561,0.59,0.587,0.6,0.587,0.649,0.551,0.847,0.64,0.824,0.645,0.807,0.598,0.6,0.65,0.88,0.648,0.876,0.64,0.766,0.617,0.898,0.662,0.627,0.57,0.605,0.67,0.66,0.656,0.668,0.67,0.691,0.713,0.648,0.635,0.671,0.668,0.585,0.63,0.609,0.62,0.561,0.61,0.688,0.694,0.631,0.808,0.611,0.688,0.597,0.887,0.736,0.732,0.667,0.728,0.863,0.703,0.688,0.637,0.75,0.855,0.083,0.082,0.082,0.086,0.084,0.083,0.082,0.084,0.083,0.088,0.082,0.086,0.794,0.722,0.856,0.847,0.84,0.74,0.819,0.706,0.702,0.648,0.802,0.619
Raw Data (600),0 h 40 min,0.881,0.882,0.554,0.553,0.547,0.537,0.568,0.536,0.523,0.632,0.607,0.548,0.601,0.596,0.605,0.59,0.653,0.559,0.843,0.638,0.815,0.639,0.806,0.599,0.599,0.659,0.862,0.672,0.855,0.649,0.774,0.637,0.878,0.698,0.655,0.634,0.596,0.659,0.644,0.638,0.656,0.651,0.665,0.695,0.639,0.627,0.659,0.659,0.588,0.64,0.614,0.628,0.57,0.621,0.69,0.702,0.645,0.807,0.61,0.687,0.587,0.866,0.739,0.724,0.65,0.716,0.825,0.683,0.667,0.646,0.721,0.86,0.084,0.082,0.083,0.086,0.084,0.083,0.083,0.083,0.084,0.089,0.082,0.087,0.804,0.686,0.859,0.848,0.846,0.695,0.824,0.686,0.717,0.666,0.818,0.623
Raw Data (600),0 h 50 min,0.931,0.937,0.544,0.563,0.562,0.548,0.586,0.559,0.55,0.644,0.649,0.555,0.602,0.585,0.603,0.582,0.641,0.551,0.85,0.623,0.827,0.637,0.83,0.605,0.603,0.663,0.857,0.683,0.868,0.646,0.769,0.648,0.888,0.686,0.664,0.613,0.609,0.683,0.672,0.666,0.673,0.676,0.697,0.722,0.659,0.645,0.7,0.696,0.598,0.656,0.631,0.644,0.583,0.634,0.706,0.708,0.665,0.828,0.63,0.711,0.604,0.881,0.75,0.755,0.664,0.751,0.866,0.719,0.673,0.668,0.74,0.844,0.083,0.083,0.084,0.087,0.085,0.084,0.083,0.084,0.084,0.089,0.083,0.087,0.806,0.704,0.88,0.873,0.872,0.731,0.856,0.711,0.742,0.671,0.823,0.649
Raw Data (600),1 h ,0.904,0.909,0.536,0.577,0.562,0.554,0.577,0.558,0.561,0.638,0.62,0.617,0.604,0.619,0.626,0.606,0.669,0.582,0.844,0.66,0.817,0.672,0.806,0.644,0.613,0.667,0.866,0.678,0.862,0.652,0.773,0.67,0.901,0.684,0.673,0.647,0.595,0.67,0.657,0.655,0.659,0.658,0.667,0.708,0.648,0.63,0.671,0.67,0.586,0.669,0.634,0.653,0.589,0.644,0.71,0.722,0.672,0.827,0.626,0.696,0.597,0.858,0.741,0.745,0.646,0.731,0.837,0.709,0.68,0.686,0.725,0.827,0.084,0.083,0.083,0.087,0.084,0.083,0.083,0.084,0.084,0.088,0.082,0.087,0.798,0.734,0.844,0.826,0.831,0.735,0.815,0.706,0.697,0.674,0.811,0.632
Raw Data (600),1 h 10 min,0.946,0.923,0.542,0.579,0.568,0.557,0.584,0.563,0.567,0.659,0.648,0.623,0.608,0.615,0.62,0.602,0.666,0.58,0.842,0.67,0.817,0.688,0.811,0.635,0.611,0.693,0.852,0.704,0.861,0.681,0.784,0.699,0.892,0.706,0.706,0.647,0.603,0.697,0.676,0.668,0.675,0.668,0.702,0.73,0.67,0.656,0.687,0.695,0.591,0.677,0.641,0.644,0.583,0.636,0.706,0.715,0.675,0.817,0.634,0.712,0.59,0.831,0.733,0.741,0.638,0.726,0.857,0.727,0.694,0.704,0.744,0.84,0.084,0.083,0.084,0.088,0.084,0.084,0.083,0.084,0.084,0.089,0.083,0.087,0.809,0.747,0.879,0.863,0.869,0.75,0.85,0.732,0.731,0.691,0.841,0.693
